uncivil,civil,is_toxic
"I fully agree, honestly at the start I was kinda wtf'd when I saw signal autofilling despite iirc not needing SMS permissions, guess that goes over google now. and I fully agree you should just be able to skip to manual entry just like for example when the phone number used is not on the same device you are using signal with.","I fully agree, honestly at the start I was shocked when I saw signal autof",0
"Good catch! Rebased. (Rebasing with renaming is hell!)   I put the helper methods into a new file `com/ichi2/preferences/PreferenceUtil.kt` since they belong with the preferences. They were in `com/ichi2/preferences/anki/PreferenceUtils.kt` before. Didn't have a better name for the file, opted to change Utils to Util so it's not the same.",Good catch! Rebased. (Rebasing with renaming is bad,0
"It looks like that page is describing goals and problems with 3.x. In my reading, this statement was meant to apply to 3.x:  > UGLY: The upstream events triggered as a side effect of a downstream event is triggered by the caller thread,  AFAIK upstream (inbound) events are the ones we are handling in our handler, could it be that a ""side effect of a downstream event"" could involve our handler's callbacks getting called by an unexpected thread when some outgoing data fails to send, or when the connection i",It looks like that page is describing goals and problems with 3.x. In my,0
 kind..,kind..,0
yes disabling 'Hippie Engine autocompletion'  works very well,yes disabling 'Hippie Engine autocompletion'  works very well,0
"+1 to the above. Also on 5.29.7 and it actually seems to have gotten worse. In addition to restarting videos from the beginning if I get a notification, it now does it when I get a notification from *any* chat, making more than one Signal conversation untenable, and also now does it with images - so if @user sends me three screenshots and I'm in the middle of reading the second one, if my friend texts me while I'm trying to read it, Signal will jump back to the first image. Repeatedly. And gods forbid I h",+1 to the above. Also on 5.29,0
and analysis.    If we are concerned about this maybe we should have a work around cluster level settings which assigns a version instead of throwing an exception. We can potentially only do it in 1.x.,and analysis.    If we are concerned about this maybe we should have a,0
"e are so quick that the random sampling may miss specific outlier > requests that cause the ""sniff check"" (divide total execution time by > number of requests completed to determine average latency) to fail. >  > For our purposes, I feel in the short-term we can just include messaging > that explains the latency data is a sampling of random requests and may be > especially inaccurate for high-performance frameworks due to the small > number of samples taken. >  > I don't feel that takes away tremendously ",e are so quick that the random sampling may miss specific outlier > requests that cause,0
I'll break up this PR because it's too complicated.,I'll break up this PR because it's too complicated.,0
"lication developer would only have to code the CategoryAnswerSubmission class in this case... nothing else!  Can you see how nice this would be if we had List of objects that also contained more lists and so on? If we don't have this feature, the developer is FORCED to do the mapping manually. And man, that sucks!!!!  So this is a highly desirable feature ;)",lication developer would only have to code the CategoryAnswerSubmission class in this case,0
Looking at this there is a problem where we can run out of Ephemeral port. Have you used this patch in anger?,Looking at this there is a problem where we can run out of Ephemeral port,0
Library/Frameworks//CoreFoundation.framework/CoreFoundation.tbd and library file /System/Library/Frameworks//CoreFoundation.framework/CoreFoundation are out of sync. Falling back to library file for linking.   JAVA_HOME        : /Library/Java/JavaVirtualMachines/jdk-10.0.1.jdk/Contents/Home Java library path: $(JAVA_HOME)/lib/server JNI cpp flags    : -I$(JAVA_HOME)/include -I$(JAVA_HOME)/include/darwin JNI linker flags : -L$(JAVA_HOME)/lib/server -ljvm Updating Java configuration in /Library/Frameworks/R,Library/Frameworks//CoreFoundation.tbd and library file.,0
> BTW the reason this is coming up now is because the recent Gradle 3.3 release changed the way output is logged from worker processes such as those used to run FindBugs. In Gradle 3.3. you now see the scanning output from FindBugs along with any exceptions stacktrace generated due to scanning of non-class files. Pretty ugly and there does not appear to be a way to silence the output using any of the typical Gradle mechanisms.  Interesting. Thanks for explaining the background. Please note that Gradle 3.x,> BTW the reason this is coming up now is because the recent Gradle 3,0
"It was from an iOS device. I couldn't tell you what was inside as it seemed to be a whole random lot of hex after it had <START Vcard 3.0>.  To get it working again I used the loophole above to delete it so I don't have it anymore.  On Sat, May 30, 2015 at 4:55 AM, rhodey notifications@github.com wrote:  > damn, we've had problems with VCards for awhile. tagging for reference > #499 http #2252 > http #2504 > http #2332 > http >  > @user http any idea if this VCard contained a > picture? or if it came from",It was from an iOS device. I couldn't tell you what was inside as it,0
edents(DeterministicCorefSieve.java:464) >         at edu.stanford.nlp.dcoref.SieveCoreferenceSystem.coreference(SieveCoreferenceSystem.java:898) >         at edu.stanford.nlp.dcoref.SieveCoreferenceSystem.coref(SieveCoreferenceSystem.java:845) >         at edu.stanford.nlp.pipeline.DeterministicCorefAnnotator.annotate(DeterministicCorefAnnotator.java:121) >         at edu.stanford.nlp.pipeline.AnnotationPipeline.annotate(AnnotationPipeline.java:67) >         at edu.stanford.nlp.pipeline.StanfordCoreNLP.a,edu.stanford.pipeline,0
"sicslab.lab.model.Collision*/c, index, array) {       /** @user {null} */ var x = c;       return Math.max(r, c.impulse);     }, 0); }; ```  I'll try to find a small test case.","sicslab.lab.model.collision*/c, index, array)",0
"and yet, but there you go)","And yet, but there you go.",0
"Ping again, this is extremely annoying and spammy.","Ping again, this is extremely annoying.",0
"Damn, spend 2 hours to find out, that it's not I am dumb ass, it's just a ""feature""!","go spend 2 hours to find out, that it's not a ""feature!",0
"Yes, you guessed it. But externs/exports won't really work for me, since I want the code to be compiled. For now, this is my workaround: ```javascript /**  * @user {*} obj  * @user {string}  */ var __objectToString__ = function(obj) {}; ``` This is added to externs. Now, when I want to use `setTimeout`, I call it like this: ```javascript app.setTimeout(__objectToString__(CoolNamespace.fun) + '()', 1000); ``` And after compilation, when it gets replaced with something like `__objectToString__(a.b)`, I can ","Yes, you guessed it. But externs/exports won't really work",0
"Further, have some respect for the people who will get notified of your PR and don't use inappropriate language.","Further, have some respect for the people who will get notified of your PR.",0
Is It possibile to add a test case?,Is it possibile to add a test case?,0
Looks to me like you don't have an identity key.  Have you done any weird stuff with backups or moving files around before this incident?,Looks to me like you don't have an identity key,0
I'm also registering my interest as this will be epic Thx,I'm also registering my interest as this will be epic,0
"hing. Any 7MEL file plays perfect with ExoPlayer/just player so in that case I don't see any reason to use this kodi fork but stick with it for 7FEL exclusively. Now I have Philips OLED807 and the image quality is perfect, I really don't need to play 7FEL natively, so I don't need any external player since I don't have any sound system attached to my tv.  It would be very constructive to see ExoPlayer and just player in the future doing this DoVi conversion on the fly, in the mean time I'll stick with the",i don't need any external player since I don't have any sound system.,0
Crap! I swear I looked for duplicates. Sorry @user,I swear I looked for duplicates.,0
"> I assume this is a typo and you meant AndroidX Work  Damn, and I checked it over like three times too LOL, fixed  > I think that's not a big issue, since AndroidX Work was going to be added anyway by #2335  👍",I assume this is a typo and you meant AndroidX Work.,0
"@user oh hell, seems unreverted layout changes got into the test build. Or it's CM...","@user oh hell, seems unreverted layout changes got into the test build. Or",0
"@user Maybe you can write a wiki page about the polyfills, what we support (so people know if we don't intend to support something vs if we haven't implemented it yet), and how to use them?","@user Maybe you can write a wiki page about the polyfills, what we",0
"I disappeared off the planet for a bit, school got busy, sorry about that!  I think I fixed it though, let me know if it's still broken. (I'm a bit of a noob when it comes to git.)","I disappeared off the planet for a bit, school got busy, sorry about that!",0
Didn't want people to think it was a 0.9.1 thing :),Didn't want people to think it was a 0.9.1,0
I'm also experiencing this.,I'm also experiencing this.,0
"need to break. Afterward, we need to reposition any runs after it (just position, don't need `getGlyphs` again) until we get back to the original run that didn't fit, then we continue placing runs on the next line.  That sounds a little tricky when written out, but may not be too bad in code (and by that I mean just as bad as the other code!).","need to break. Afterward, we need to reposition any runs after it (",0
"This needs to be fixed. The very common scenario faced as an a user, signal is my default text app. I have evangelized to several iphone friends to install signal for whatever reason signal notifications are not enabled on their iPhone. My choices are to remember to switch to insecure before EVERY send, or feel like an idiot requesting that they turn on signal notifications or uninstall and deregister the app I just asked them to install.  This is terrible and until fixed I will never ask anyone to instal",This needs to be fixed.,0
"So the fix is to replace that `for()` loop (ugh!) with `sapply()`:  ```r pkgs.version <- sapply(seq_along(pkgs.name), function(i){         .rs.packageVersion(pkgs.name[[i]], pkgs.library[[i]], instPkgs)       }) ```  And now the `check.rows=FALSE` is no longer necessary, so I reverted that.",So the fix is to replace that `for()` loop (ugh!) with `,0
"@user Here's what I did Step inside McDonald's Connect to their WiFi WITHOUT ""logging in""/accepting their license crap Write a message Wait 15-20 seconds  Then the app whines about the message not being delivered.","@user Here's what I did Step inside McDonald's Connect to their WiFi WITHOUT """,0
"I've also been experiencing this error ever since 0.23.2 released. It sucks as I have moved away from daily driving services like Spotify to primarily use NewPipe's background playback feature, and this is still a major stability issue.  Android 12 on Galaxy A71 5G, NewPipe version 0.23.3, with a Bluetooth device connected.  This also happens with SoundCloud streams. I'll post a log when it happens next there. I've not tested other sources.",i've also been experiencing this error ever since 0.23.2 released.,0
"Yes, I understand there are workarounds, but it's an ugly way to do it. Should I make a PR?","Yes, I understand there are workarounds, but it's an ugly way to",0
"I think there are a few stragglers, just dead build logic, comments, and docs:  ``` rmuir@beast:~/workspace/elasticsearch$ fgrep -r shade . ./pom.xml:                    <artifactId>maven-shade-plugin</artifactId>  ./dev-tools/src/main/resources/ant/integration-tests.xml:  <!-- check shaded jar for jar hell --> ./dev-tools/src/main/resources/ant/integration-tests.xml:  <target name=""check-shaded-jar-packages""> ... ./dev-tools/src/main/resources/forbidden/core-signatures.txt:# For shaded dependencies, plea","I think there are a few stragglers, just dead build logic, comments,",0
Actors should not make assumptions about what color the SpriteBatch has.,Actors should not make assumptions about what color the SpriteBatch has.,0
"If it's executing the code in that stack trace, I think you'd need an API19 emulator to detect it and/or to toggle full screen mode http  Hard type casting, ugh!","If it's executing the code in that stack trace, I think you'd need an",0
hell yeah!!!,Yeah!,0
i screwed up this PR with my latest commits.  You'll have to redo.  I owe you a beer for making you redo this again.  THere's a lot has changed in the examples.,i screwed up this PR with my latest commits.  You'll have to redo,0
"ue some of the rebranding assholes (offensive language, but that's just the sad truth...) for abusing our error reporting service by setting up some Terms of Service document which we also publish in this repository. But I'm pretty certain the costs (talking about time _and_ money here) outweigh the benefits by far, as with any other legal action. Furthermore, I think the users (who most likely don't know any better) would be the ones to put legal claims upon in most non-EU/US countries, and you can't rea","ue some of the rebranding (offensive language, but that's just the sad",0
" I would fucking love this feature, if I don't find one app that does this, I'll struggle as much as I can to make this possible. I'm a developer yet not for Android However I want to help.","I would love this feature, if I don't find one app that does this,",0
I get some test failure crazyness related to discovery here. there is too much magic in here I don't really get. I don't think I will have the patience to fix that but maybe somebody with more disco knowledge can chime in @user @user,I get some test failure related to discovery here. There is too much magic in here,0
"@user That works for me also.  Must be time to upgrade to 2.0!    @user I was wondering if it might be something with the translog.  Looks like that testOpenCloseWithDocs wasn't there prior to 2.0.  Thanks for the help here guys.  BTW, it took me a bit of trouble getting the test to work in 2.0.  The [docs](https://www.elastic.co/guide/en/elasticsearch/reference/current/using-elasticsearch-test-classes.html) call out two dependencies , but I also found that I had to include hamcrest-all-1.3 + junit-4.12 w",@user That works for me also,0
@user My apologies Scott. I wasn't trying to point fingers (I reviewed this change after all and didn't notice the bug). I was just trying to say that this is such a central part and we should probably only do optimizations if we are damn sure they are correct.,@user My apologies Scott. I wasn't trying to point fingers (I reviewed this,0
"to align videos to the cutcout while using landscape because cutcouts come in many different sizes. If you do then you'll likely end up with off-centered videos and only having rounded corners on one side of your screen. That's why YouTube, VLC & many other players don't do anything about the notch and always center the videos to fit.",to align videos to the cutcout while using landscape because cutcouts come in,0
vocationBuilderImpl.java:59) ,vocationBuilderImpl.java:59),0
"Simple alternative would be allow the disappearing message for more than 1 week? 1month and 3month? Then the existing disappearing message feature is not only for ""burn after reading"" usage. I'm understand that there a corner cases but they also exist if I use 1week.  This will not fix all the issues mentioned, but it will limit the shit-load of private data on a lot phones at least a bit.",Simple alternative would be allow the disappearing message for more than 1 week? 1month and,0
Can someone please let me know how to fix this issue permanently.,Can someone please let me know how to fix this issue permanently.,0
"l);       if (openGLmajorVersion != 1 || openGLminorVersion != 4) return;       Class<?> Gdx = Class.forName(""com.badlogic.gdx.Gdx"");       Class<?> LwjglGL11 = Class.forName(""com.badlogic.gdx.backends.lwjgl.LwjglGL11"");       Field LwjglGraphics_gl11 = LwjglGraphics.getDeclaredField(""gl11"");       Field Gdx_gl11 = Gdx.getDeclaredField(""gl11"");       LwjglGraphics_gl11.setAccessible(true);       Gdx_gl11.setAccessible(true);       Constructor<?> LwjglGL11_default_constructor = LwjglGL11.getDeclaredConstru",LwjglGL11 = if (openGLmajorVersion!= 1) return,0
"Ugh, I really would prefer to not use apt-get, but mono has been such a beast that I'm basically willing to through in the towel for it. @user I want to have plain *nix supported, but I am willing to concede defeat for mono.  Thought: we COULD move away from sudo and apt-get in the framework-specific files and have another user (elevated) running the actual installation of ""foundation software"" (like mono, python, etc). Then, since we are going to have separate files for windows/linux (powershell vs. bash","Ugh, I really would prefer to not use Microsoft, but I'm basically willing",0
Ahh.. stupid wild cards.. intellij... pffff..,Ahh.. wild cards.,0
You should be able to do this now!,You should be able to do this now!,0
ges on your device and make sure they work properly.  Thanks for the pull request!,ges on your device and make sure they work properly,0
"lolonaut, couldn't agree more!","lolonaut, couldn't agree more!",0
"Here is the error from adding that line:  ``` src/lab/model/CollisionAdvance.js:523: WARNING - The right side in the assignment is not a subtype of the left side. left side  : null right side : myphysicslab.lab.model.Collision        /** @user {null} */ var x = c;                                   ^ ```  Here is the code with that line  ``` javascript /** * @user {number} * @user */ CollisionAdvance.prototype.maxImpulse = function() {   return goog.array.reduce(this.collisions_,     function(r, /** !myphy",Here is the error from adding that line:,0
"ly crypto researchers or highly qualified engineers who worked on crypto protocols before.  @user When you say ""very bad ux"", and are suggesting that sending the message unsigned is the better option, you are just moving the impact of an impossible situation (""secure communication when my key isn't available"") from yourself to the recipient.",ly crypto researchers or highly qualified engineers who worked on crypto protocols before.,0
"We're getting close -- but I think there's one bit of ugliness we should figure out. See the attached screenshot:  ![screen shot 2015-06-11 at 2 20 32 pm](https://cloud.githubusercontent.com/assets/1976582/8118650/1ece8b64-1045-11e5-8d8b-6f3c34fbf43b.png)  I _really_ hate how the scroll bar looks when separating the outline and the document. Any thoughts on what we could do to improve it, if anything? (For example, hide it unless the mouse moves 'near' it; toggle its visibility in some smart way, ...)","We're getting close, but I think there's one bit of ugliness we",0
I'll put reworking this on my queue then. I imagine I'll close this in favor of something that lets us do this incrementally so the review is crazy huge.,I'll put this on my queue then. I imagine I'll close this in favor,0
" pretty much walk in the park, it allows to directly express most things that are needed in shaders and if something is not right, compiler gives reasonable error messages.","pretty much walk in the park, it allows to directly express most things that are needed",0
"LI extension - doesn't suck too bad, but Spring Security need to release another JAR and the user needs to do `$ spring install org.springframework.security:spring-security-cli:1.2.3.RELEASE`  Since Boot supports password in properties, having a tool shipped that allows you to generate them makes sense to me.","LI extension - doesn't suck too bad, but Spring Security need to release another J",0
Do you have xposed or any shit like that running?,Do you have xposed or any like that running?,0
The current error reporting system is pretty horrible. But I'd rather move to something completely different  than making what we currently have only slightly less horrible.,The current error reporting system is not good. But I'd rather move to something completely,0
"I seconed that. I love OWS and Signal, but I'm really disappointed too when it comes to call Quality and volume in Beta Video Calling (webRTC). I thought this would Change alot and lift this App up to a new Level. But talking with Signal even with the latest Update is worst it could be.   I have Signal on several devices non rooted with stock and strong wifi connection. Nexus 4, Nexus 5, Nexus 6P, Samsung 6, Samsung 4 and on every phone, the call quality is really horrible and the volume is fucked up.   I","I have Signal on several devices, but I'm really disappointed too when it comes to",0
Totally! This is exactly what I was hoping to see soon.,Totally! This is exactly what I was hoping to see soon,0
"@user sorry, I was too fast. You're right. Its two contacts (I don't know why I did this crap) One is named ""Es......"" the other one ""Home Es....."" with the same number but one time without spaces:  ![screenshot_2015-07-21-01-05-38](https://cloud.githubusercontent.com/assets/5296073/8789643/ddc65858-2f44-11e5-9715-032589c0e717.png) ![screenshot_2015-07-21-01-05-46](https://cloud.githubusercontent.com/assets/5296073/8789644/df56e034-2f44-11e5-9298-e55bac40779b.png) ![screenshot_2015-07-21-01-06-00](https:/","@user sorry, I was too fast. You're right",0
can't believe that still isn't available... html mails on mobile are horrible (even more than on desktop).  pls implement.,can't believe that still isn't available... html mails on mobile are horrible (,0
" not enforce these assumptions.  I am thankful to be better informed about the policies (no dependencies, assumptions of plugin-author-fault), but I am specifically asking for these assumptions to be announced at the time of the error. If we dislike large error messages, would you accept documentation for this in the Elasticsearch plugin docs *and* a link to it from the error message?   Notably, googling for ""elasticsearch jar hell"" is full of folks hitting jar hell and asking questions but no definition ","I am thankful to be better informed about the policies (no dependencies, assumptions of plugin",0
There is a unit test to verify exactly this case... weird... http  http,There is a unit test to verify exactly this case.,0
This change is misguided,This change is misguided.,0
What's up with the CLA?,What's up with the CLA?,0
"he expected `null` result, which in my personal view seems like the only correct thing to do in the case where filters do not match, but that doesn't work for default mode of course.  As alluded to by @user I don't think we could make the 'default' mode min/max aggregators return `0` either without storing some additional information to distinguish not aggregating values (so probably no longer using the primitive numeric base aggregators, or perhaps always using the nullable version and just coercing to 0","he expected `null` result, which in my personal view seems like the only correct",0
sure. I will. I mess up all my work..,sure. I will. I mess up all my work.,0
"Occasionally, one wants to insert `[""-Wl,--start-group"", some_label, some_other_label, ""-Wl,--end-group""]` if some existing code has screwed up interdependencies. I wonder if this is the reason why labels are supported (but broken) in `linkopts`.  It could be argued that one should use a `genrule` or something to merge the static libraries and then include the resultant thing in `srcs`. But this solution comes with a caveat: - In an environment where multiple platforms and multiple toolchains (including c","Occasionally, one wants to insert `[""-Wl,--start-group",0
oops,Oops.,0
http  ``` Found issue: issue #5489 - make sure we don't import cards into a filtered deck last updated 2020-01-01T06:37:20Z (is pr? true) Marking pr stale because it was last updated on 2020-01-01T06:37:20Z and it does not have a stale label Marking issue #5489 - make sure we don't import cards into a filtered deck as stale Found a stale pr Checking for label Stale on issue #5489 Issue #5489 marked stale on: 2020-06-02T22:37:36Z Checking for comments on issue #5489 since 2020-06-02T22:37:36Z Comments not ,http  ``` Found issue: issue #5489 - make sure we don't,0
"Roughly: I suck and have been distracted by work :/  On Thu, Jul 05, 2012 at 04:14:19PM -0700, zjw wrote:  > What's the status of this pull request? >  > --- >  > Reply to this email directly or view it on GitHub: > http  ##",Roughly: I have been distracted by work,0
ch causes Signal to stumble upon its own problem.,ch causes Signal to stumble upon its own problem,0
" really should never make it out the door   There's no JAR hell check to prevent `gradle assemble` from succeeding, though, so it was easy for me to have this fail.  I think the problem I experience is this:  * As a developer, I can build a plugin successfully that would fail jar-hell check. * As a user, I can install a plugin that would fail jar-hell check.  Proposal: Can we add a gradle check for this ""jar hell"" thing? This would prevent a plugin from being shipped at all if it fails this check. Impact:",I think the problem I experience is this: I can't build a plugin that would,0
**[Andreas Senft](https://jira.spring.io/secure/ViewProfile.jspa?name=asenft)** commented  The formatting is ugly. See the shadowMatch debug information in attached shadowMatch.txt,*Andre Senft](https://jira.spring.io/secure/View,0
"nter seems to have a visible glyph where it shouldn't, which shows as the horizontal bars in the glyph cache, and that messes up other fonts rendered in Hiero afterwards by putting that glyph in their caches too.","nter seems to have a visible glyph where it shouldn't, which shows as the",0
"// fire user exception event     } else {       // fire user success event     }      super.onLookupComplete(ctx, hostname, future);   } } ```  This way we don't incur the cost of creating and tossing away these objects and the user is free to do what they want.",i don't incur the cost of creating and tossing away these objects.,0
"in"" doesn't really help in this situation. Why tell the user to try again when the user should wait for the blacklist to be cleared instead?","in"" doesn't really help in this situation. Why tell the user to try again",0
"Just two smaller comments: I like the medical Patch Icon, it shows that PGP/INLINE is an ""ugly patch"", which it is :)  I would prefer that it is always called "" PGP/INLINE"".","Just two smaller comments: I like the medical Patch Icon, it shows that PGP",0
"act take out all the BitShares derivatives, it's a total scam.  Are you starting to see my point?  Just because a coin is on a major exchange and people trade it in volume doesn't make it any better or worse than any other. People are sheep and they don't investigate the code, the backers, the internet reports or the security aspects. And then they will scream blue murder when someone takes their money.  It comes down to this: Do we want to _look_ legitimate by acting as a pseudo-government ""nanny"" and tr","act take out all the BitShares derivatives, it's a total scam",0
I have rebased and squashed the code,I have rebased and squashed the code,0
whew!,Wow!,0
Pitest isn't for catching bugs in your code. It is for gauging the quality of your tests.,Pitest isn't for catching bugs in your code. It is for gauging,0
"@user Thx, made some global replace at some point and messed it up.","@user Thx, made some global replace at some point and messed it up",0
"We need to change all definitions those interpret `0` as infinite or `Integer.MAX_VALUE` to make configuration consistent across all modules, not only for `QueueConfig`.    There are many of them; max-size of map, list, multimap; ttl, max-idle, queue-size of job-tracker etc. Also these are defined in XSD too, not only config classes.   Otherwise this will introduce a greater WTF.",we need to change all definitions those interpret `0` as infinite or `Integer.,0
"Supposedly you can fix it with geckodriver on windows. They don't bother to mention it in the instructions, but you have to rename it wires.exe or nothing works. They also don't bother to mention it, but you have to install the latest selenium, or nothing works.  I tried to update selenium with pip from local files since my work proxy is stupid. Oops I need rdflib. Try to install that. Oops I need htmllib5. Try to install that. Oops I need newer easy_install. Try to install that. Oops I need newer setupto",Supposedly you can fix it with geckodriver on windows.,0
"Nevermind, the application is working again after restarting the device.","Nevermind, the application is working again after restarting the device.",0
Done with another.,Done with another.,0
"Reproduced today on 1.9.9/MacOS.  This is a massive glaring problem and faces the user the first time they open the account page (for me my app opened at this page).  Extremely confusing and worrying for new users, that their new app in an ecosystem that they want to try to trust is acting screwy from the get-go.",Reproduced today on Windows.,0
Oh wow. VLC doesn't even let you go below 1%.,Oh wow. VLC doesn't even let you go below 1%.,0
"erChangedEvent> tasks) throws Exception { > -            ClusterTaskResult.Builder<ClusterChangedEvent> builder = ClusterTaskResult.builder(); > +        public boolean runOnlyOnMaster() { >  > They did not pass before rolling this back. I must have pushed something different to what I tested (it was not even compiling). >  > — > You are receiving this because you were mentioned. > Reply to this email directly, view it on GitHub, or mute the thread. >",erChangedEvent> tasks) throws Exception,0
"that you don't like or they seems redundant to you. From that people could discuss it.  >It results in software bloat and over-complication  Software that people are usually call ""bloat"" is usually bad designed, not reliable and lagging as hell. Good example of complex software with A LOT of features is ffmpeg, but still, I can't call it ""bloat"" becuase it just doing the job perfectly well and incredibly fast.  >NewPipe is making the same mistake as Microsoft did 20 years ago: Adding features by user requ",that you don't like or they seems redundant to you.,0
work,work,0
Are you using wifi calling or something?,Are you using wifi calling or something?,0
"s reset, or something?","s reset, or something?",0
@user @user  Do you recommend that we remove the phone nr? Is it sure that all support email addresses?  Have I already said that banks are terrible? -) They never arrived in the 21st century...,@user @user  Do you recommend that we remove the phone nr? Is,0
eate after. - Branches themselves are clean: they change only the files I intend to change and they don't collide with changes I made in previous change.  If that does not work that ruins my view of hallow git.,eate after. - Branches themselves are clean: they change only the files I,0
S app can't handle this properly. Correct me if I'm wrong.,S app can't handle this properly. Correct me if I'm wrong.,0
"When contemplating schema+data version it's possible there are multiple changes in each version, and if done right each change would be in a transaction, would be separate and would be tolerant of failure. They may not be idempotent though, so if you do 2.9.0-migration1 but OOM on 2.9.0-migration2 (or something), you haven't setAnkiDroidVersion(2.9.0) yet (as proposed above) and you'd re-try 2.9.0-migration1. For that reason all the migration tools I've used or written treat migrations as a list of change","When contemplating schema+data version, it's possible there are multiple changes in each version",0
> My apologies Scott. I wasn't trying to point fingers (I reviewed this change after all and didn't notice the bug).   No worries ... didn't interpret as finger pointing ... just wanted to point out it is likely this race has existed for a while. Everyone should take this new release :+1:   >  I was just trying to say that this is such a central part and we should probably only do optimizations if we are damn sure they are correct.  :+1:   Also I have a PR pending with the changes suggested above ... I'll,I was just trying to say that this is such a central part and we should probably,0
Hell with consistency right?  Will post a fix shortly.,Hell with consistency right? Will post a fix shortly.,0
"This is more of a github issue itself by not allowing an issue template akin to google code.   This is not going to stop users from filing poor issues. The type of people who log crappy issue reports completely ignored the predefined template from google code and posted their issues anyways.  Do you have any suggestions where such a link would make sense? (Alas github does not allow us to customize the ""new issue"" button).",This is more of a github issue itself by not allowing an issue template akin to google,0
"it examplified here by you is why one loses any interest in doing this kind of work (for free).  So, good luck getting more favorable responses from poor customer support folks working on ""legitimate engines"" that can be ""taken seriously"" when you send them an angry email about a ""Won't fix"" issue from 8 years ago for a piexe of third party software that has been discontinued 5 fucking years ago.  On Tue, Jun 22, 2021, 00:20 Nikolas ***@***.***> wrote:  > The decision to ignore this issue is why it still ",it examplified here by you is why one loses any interest in doing this kind,0
"eed cleaned all up and balance was also confirmed with importing the seeds in electrum (one need to make 2 wallets there, one for legacy and one for segwit - and BSQ has to be considered as well).   I highly recommend to NOT use Electrum for sending out funds (for cross checking the balance its ok) as specially with BSQ things can go very wrong (BSQ burned) and if Bisq app is still in use Bisq data can get screwed up. Also getting out funds vai Bisq always works (at least I have not seen any case so far w",Erd cleaned all up and balance was also confirmed with importing the seeds in electrum,0
I have one shitty Ice Cream Sandwich device (4.0.4) that is silent in webrtc calls but works with legacy redphone calls.,I have one bad Ice Cream Sandwich device (4.0.4) that is,0
Is there any update on when this will be fixed? We are considering moving away from checkstyle because of this issue. Working around it by wrapping in parentheses or not indenting at all is just too ugly/unreadable.,Is there any update on when this will be fixed? We are considering moving away from,0
Changing the `Start of next day` setting in AnkiDroid clobbers your database creation time with some bogus data. Doesn't matter when you do it or what value. Don't touch that setting until I get a fix out.  Broken by [this commit](https://github.com/ankidroid/Anki-Android/commit/c4696285146a9254c756743860bcb7069ff5b86b).,Changing the 'Start of next day` setting in AnkiDroid clobbers,0
"I'm busy reading up on the Loader code and instrumenting it right now as I think the same thing, that has to be it.  The tests are definitely not in a great state right now and I'd never be happy with the current condition of things if it weren't basically a hotfix on an alpha. I know from testing that it does basically work as a build right now, but otherwise yuck.  Next PR will be something that either works fully with 27.0.x libraries (including full testing etc) so we can stay on it, or a clean forwar",I'm busy reading up on the Loader code and instrumenting it right now as,0
I don't think we will get to this in the near future.,I don't think we will get to this in the near future.,0
"ount > utflen)                             throw new UTFDataFormatException(                                     ""malformed input: partial character at end"");                         char2 = b._getByte(readerIndex+count-2);                         char3 = b._getByte(readerIndex+count-1);                         if (((char2 & 0xC0) != 0x80) || ((char3 & 0xC0) != 0x80))                             throw new UTFDataFormatException(                                     ""malformed input around byte "" + (count-1",I don't like what you say.,0
"Ah damn, I didn't think about this when I made #294...",I didn't think about this when I made #294.,0
"Damn, referenced wrong issue. Re-opening.","Sorry, referenced wrong issue. Re-opening.",0
Travis isn't very smart.,Travis isn't very smart.,0
"]: ``` [2021-08-05T21:40:38,643][ERROR][o.e.b.ElasticsearchUncaughtExceptionHandler] [maclastic.local] uncaught exception in thread [main] org.elasticsearch.bootstrap.StartupException: java.lang.IllegalStateException: failed to load plugin x-pack-sql due to jar hell         at org.elasticsearch.bootstrap.Elasticsearch.init(Elasticsearch.java:171) ~[elasticsearch-8.0.0-SNAPSHOT.jar:8.0.0-SNAPSHOT]         at org.elasticsearch.bootstrap.Elasticsearch.execute(Elasticsearch.java:158) ~[elasticsearch-8.0.0-SNA",: failed to load plugin x-pack-sql.,0
"I'm using different conferencing solutions for years and never had one that showed me to myself not like a mirror does. IMO there's a big difference between video production and conferencing. Maybe video production people are used to see theirself ""unmirrored"" (like singers get used to hear their own voice via headphones only when they are recording). But to all other people both is very irritating.",I'm using different conferencing solutions for years and never had one that showed me,0
Is anyone else facing this in 2021?,Is anyone else facing this in 2021?,0
JGroupsTransport[] (keycloak-cache-init) JGroups protocol stack: TCP(time_service_interval=500,JGroupsTransport[] (keycloak-cache-init) JG,0
"e uses less RAM.  So when one of these files changes, it's detected, but Bazel cannot tell which one changed (hell, I don't even know how we detect when the set of inputs files changed...)  In order to fix this, we could do two things: 1. Peek into Skyframe invalidation (that wouldn't work on Bazel server restarts, but it would work most of the time and it would be complicated) 2. Replace the action cache (it's looking increasingly like a tempting target for multiple reasons, but it's not a small amount o",E uses less RAM.,0
~80% laziness (installing two things is more work than installing one thing) and ~20% paranoia (tracking files on my work machine? no thanks).,~80% laziness (installing two things is more work than installing one thing,0
