uncivil_comment,civil_comment,,
Anyway this issue will be closed without an answer since Google doesn't care about people but sticking to their narrative.,It's important to approach this issue with an open mind and consider that Google may have various priorities and perspectives. Let's strive for constructive dialogue.,,
Everyone here will be called a white supremacist antiblack antiasian antilgtbteq1324 and risking to be banned from the repo.,Let's refrain from using derogatory labels and instead focus on respectful and productive discussions.,,
Welcome to 1984.,It's important to foster a welcoming and inclusive environment where everyone's views are respected.,,
"Nothing more cringey than tech framework sites posting about politics, even if you agree with the sentiment.","It's understandable that some individuals may find it uncomfortable when tech framework sites touch on political topics, even if they agree with the sentiment.",,
"You know what, the white A"" in the Angular logo is all of a sudden making me feel uncomfortable...maybe even a little oppressed. Hmm, could the Angular team be racists??? Maybe we should make a separate issue to change the color to black.""","I noticed the white ""A"" in the Angular logo, and it made me feel uncomfortable. Perhaps we can discuss the possibility of addressing this concern separately.",,
Just noticed the #BlackLivesMatter banner on the home page for the first time...what a joke.,I recently noticed the #BlackLivesMatter banner on the home page. I have some reservations about it.,,
Anyone have a list of other political movements endorsed by the Angular site?,Can anyone provide a list of other political movements endorsed by the Angular site?,,
What's racist about it? Also don't shame others based on their skills and development experience. That's against the code of conduct.,Let's maintain a respectful tone and avoid shaming others based on their skills and development experience. This approach aligns with our code of conduct.,,
"All lives matter"" isn't racist either, yet apparently saying that makes you a white supremacist or something.""","It's important to acknowledge that ""All lives matter"" isn't inherently racist, although it's worth understanding the context and perspectives surrounding the phrase.",,
"People can express their opinions but the mods are just gonna lock it away cause y'all can't behave"" and ""the discussion is getting out of hand and is not productive anymore""""","While people are entitled to express their opinions, it's necessary for the moderation team to ensure that the discussion remains civil and productive.",,
Funny how the first comment is being sarcastic about [the master branch],The first comment seems to contain sarcasm regarding the master branch.,,
I guess I'll give up my Master's degree to show solidarity.,"I understand the sentiment behind showing solidarity, but let's consider other ways to address the issue.",,
why is it on the front-page of Angular and **what is the criteria** which determines what gets on the front page. **Who decides what's important enough?**,I'm curious about the criteria used to determine what appears on the front page of Angular. Who makes these decisions?,,
"If you're so sure that it's such a good idea, why do you have to act so quick about locking it so as not to give people a chance to give their opinion on the matter?","If you believe the idea is valuable, it would be helpful to allow others to provide their opinions before locking the discussion.",,
But it just feels less and less a framework and more and more a political board.,It's important to strike a balance between being a framework and addressing political matters. Let's discuss ways to maintain focus while ensuring inclusivity and open dialogue.,,
"This crap has gotten way out of control, give em an inch and they'll try to take a mile.","The situation has escalated beyond what is reasonable. When we allow small concessions, it can lead to further demands. It's important to address concerns while maintaining a balanced approach.",,
"Enough is enough already, rather than people getting offended by a word that is not offensive in this context,",We have reached a point where it's necessary to find a resolution rather than getting caught up in offense over a word that may not be offensive in this specific context.,,
I can't believe the insanity that's going on.,The current situation is difficult to comprehend. Let's approach the matter with a rational and open mindset.,,
That's the context and the only context.,It's crucial to consider the specific context in which the issue is being discussed. This context provides a comprehensive understanding.,,
I guess my `Masters Degree` now has to renamed to `Main Degree` as well..,"Renaming my ""Masters Degree"" to ""Main Degree"" seems to be an unexpected consequence. Let's explore the implications and discuss potential alternatives.",,
Simply stupid.,This situation seems unnecessarily complicated.,,
"Stupid, like all this progressive shit destroying everything it touches.",The progressive movements have sparked controversy in various areas. Let's address the challenges in a constructive manner.,,
"Simply stupid. There's no other way to put it. Stupid, like all this progressive shit destroying everything it touches.","This situation seems unnecessarily complicated. The progressive movements have sparked controversy in various areas, and it's crucial to approach the discussions with respect and understanding.",,
I recommend you finding another tool where you can work with easily without headache yourself with this particular one. This is what I did myself.,I recommend exploring alternative tools that align better with your needs and provide a smoother workflow. That's what I did when faced with a similar situation.,,
You have missed some quotes around a string.,It appears that you missed including quotes around a string in your code. Please make sure to rectify that.,,
"I am a scikit-learn newbie and have just have spent a frustrating time going thought the docs, and I can't find anywhere how to read my own data (and not a prepared toy dataset), and what the python format of data is.","As a newcomer to scikit-learn, I've encountered similar frustrations while navigating the documentation. I'm still unsure about how to read my own data rather than relying on prepared toy datasets. It would be helpful if someone could clarify the Python format for data.",,
"I don't know whether you are one of scikit-learn staff or not, but I need to say that your way of talking is harming both scikit-learn staff and users (us)","Whether you are part of the scikit-learn staff or not, it's important to communicate in a way that fosters a positive environment for both the staff and users. Let's strive for constructive dialogue.",,
"you seem quite misinformed about what is scikit-learn, how it works, and how the project is developed.","It seems that there might be a misunderstanding about scikit-learn, its workings, and the development process. It would be helpful to provide accurate information to avoid confusion.",,
it's literally your job. or you are here just to spam random stuff till people get pissed off and leave?,Is there a specific reason behind your comments? It's important to maintain relevance and avoid spamming unrelated content that could cause frustration.,,
your comments look absolutely random with quite zero connection to the reality. either a bot or ... very unintelligent person. which is fine by me as long as you keep a distance from me.,Your comments appear to be unrelated and lack connection to the ongoing discussion. It's important to ensure that our comments contribute meaningfully to the conversation.,,
"so, if you don't know a solution, DO NOT POST ANY COMMENTS.","If you don't have a solution to the problem at hand, it would be better to refrain from posting comments. Let's focus on constructive contributions.",,
"and again if you don't know a solution, DO NOT POST ANY COMMENTS.","Once again, if you don't have a solution to the problem, it's advisable not to post comments. Let's keep the discussion productive.",,
bot or something? your comments look absolutely random with quite zero connection to the reality. either a bot or ... very unintelligent person. which is fine by me as long as you keep a distance from me.,Your comments seem disconnected from the reality of the situation. It's important to maintain informed discussions to foster a positive atmosphere.,,
There is no need for personal insults or caps.,Personal insults and excessive use of capitalization are unnecessary. Let's keep the conversation respectful and civil.,,
i dint yet started the insults. its called personal observation. look it up.,I haven't started resorting to insults. It's important to differentiate personal observations from offensive remarks. Let's maintain a respectful tone.,,
what consoles and what modes? (did you actually read the ''To Reproduce'' ????? i have the feeling you didnt),"Could you please clarify if you read the ""To Reproduce"" section of the documentation? It appears that some information might have been missed.",,
now i have the feeling you didn't read anything at all.,It seems like you might not have had the opportunity to thoroughly read the provided information. I would suggest revisiting the details to ensure a comprehensive understanding.,,
or you just assume that if it works for you work for absolutely everyone?,It's important to avoid assuming that what works for one person will work for everyone. Each situation may have unique factors to consider.,,
you have not actually commented here regarding the problem or the intention to fix it.,I haven't seen any comments from you regarding the problem or any intentions to contribute to its resolution. Let's focus on finding solutions together.,,
A bit of research can help you get the info you need in order to be able to perform the necessary tests to confirm/deny your theory so you can start acting on knowledge.,Conducting thorough research can provide the necessary information to perform tests and validate theories. It's essential to base actions on knowledge rather than assumptions.,,
"Seeing this issue as well, its very annoying.","I've also encountered the same issue, and it can be quite frustrating. It would be helpful to address this concern and explore possible solutions.",,
"Now: it seems like the discussion here _has_ reached its terminus, so there isnt value in leaving it unlocked for angry people to get their digs in.","It appears that the discussion has come to a conclusion, and keeping it open may not add any value, especially for those who might use it for negative purposes.",,
"while I fully understand your reasoning, this is detrimental to people learning how to use Ansible.","While I understand your reasoning, I believe it could have a negative impact on individuals who are learning how to use Ansible.",,
AT LEAST remove the banner for people that are not in the US.,Could we consider removing the banner for users outside the United States to ensure a more inclusive experience?,,
You guys suck at everything!,It would be more constructive to provide specific feedback or suggestions for improvement rather than making a generalized negative statement.,,
WTF Microsoft!,I strongly disagree with the approach taken by Microsoft in this situation.,,
Microsoft should grow turnips instead of writing software!,"Instead of criticizing Microsoft, it would be more productive to focus on providing constructive feedback or suggestions.",,
"I would be tempted to blame legalization for this kind of mishap, but you guys have always sucked at software!","I would have expected Google workers to demonstrate better communication skills rather than resorting to ""mansplaining.""",,
"Windows sucks and now you even made .NET, your crown jewels, suck!",It seems like you're suggesting that Microsoft should focus on other activities rather than software development. Can we discuss specific areas of improvement instead?,,
This wasted several hours of my time trying to work through the suggested troubleshooting tips,"I invested several hours attempting to troubleshoot using the suggested tips, but unfortunately, it didn't lead to a resolution.",,
Can't you guys get anything done without turning it into a nightmare?,It would be great if Microsoft could deliver projects without causing unnecessary complications. Let's work together to find ways to improve the process.,,
Everything you guys put your hands on sucks!,It's important to provide specific examples and constructive criticism when discussing Microsoft's involvement in different projects.,,
So I guess I need to be smoking the same grass you're smoking in order to medicate my way out of seeing Microsoft's mediocrity? No thanks!,Making personal remarks or assumptions about others' experiences doesn't contribute to a meaningful discussion. Let's focus on addressing the issue at hand.,,
"Because we can undo it"" is not a good reason to present bad statistics.""","We should base our conclusions on accurate statistics and valid reasoning rather than using ""because we can undo it"" as a justification.",,
So as long as everyone reads through at least the first 39 pages of the Unicode standard then there shouldn't be any problem.,"To ensure clarity, it would be helpful to define the criteria and guidelines for handling issues, considering factors beyond reading the Unicode standard.",,
"Meanwhile, you've provided zero evidence to support your claim, which is based solely on your personal experience.",It would be beneficial if you could provide evidence or data to support your claim rather than relying solely on personal experiences.,,
It's no wonder that even Google's own engineers could care less about the company's style guides.,It's surprising to hear that even Google's own engineers seem to disregard the company's style guides. Let's discuss this issue constructively.,,
And here I'd thought that Google workers were above mansplaining. Stupid me,Let's avoid making assumptions or generalizations about individuals based on their affiliation with Google or engaging in unproductive debates.,,
"It's a very convenient way of saying that the bug I had in my code was a bug with my design rather than the .Net Native compiler even though my code did/should work in any given .Net runtime context, but .Net Native is special, thus requiring special design considerations.",It would be more productive to focus on finding a resolution rather than attributing the bug solely to the design of the .Net Native compiler.,,
before you close this issue you will have to adjust where you point the finger.,"Before closing this issue, it would be important to allocate responsibility accurately and ensure that we are addressing the right concerns.",,
"The problem isn't with MessagePack, according to @MichalStrehovsky the problem is your design choice since you, being on the inside of Microsoft, have an even better understanding of the way the .Net Native compiler works.","According to @MichalStrehovsky, the problem may lie in the design choice rather than with MessagePack itself. Let's explore this further to find a solution.",,
It may be a PITA to have .Net Native issues surfaced this way.,"Addressing .Net Native issues in this manner might be inconvenient, but it could help us identify and resolve them effectively.",,
Both the comment you make and the way initiated the closure of this issue was disingenuous.,It seems that both the comment made and the approach taken to close this issue may not be genuine or conducive to productive discussions.,,
Just say so and stop pretending that any of the .Net Native compiler problems will actually be addressed.,Let's have an open conversation about the .Net Native compiler problems and explore possible solutions rather than assuming they won't be addressed.,,
"A year went by on the gRPC issue. A year with no resolution! I'd even be ok with a form of admission and a statement along the lines that we need to resolve these issues ourselves. At least that way, time wouldn't be wasted on false expectations.","I understand your frustration with the length of time it takes to resolve issues, and it would be helpful to manage expectations and provide clear communication.",,
ou're wasting a lot of our time slandering our competence,"Rather than slandering each other's competence, let's focus on constructive dialogue and finding solutions together.",,
You can censor me if you like.,"Instead of resorting to censorship, let's encourage open discussion and constructive feedback.",,
you keep bringing it back to advocating for breaking compatibility in the language design as if this was the same level of implication.,It would be helpful to focus on the implications of breaking compatibility in the language design without attributing it to the same level of importance as other issues.,,
I'm tired of this bikeshedding. I tried to advocate for keeping this issue focused on the actual bug that can be fixed (syntax highlighting),"Let's redirect our efforts towards resolving the actual bug, such as syntax highlighting, and avoid getting sidetracked in irrelevant discussions.",,
To think that a new idea is better than an old one simply because it is new is foolish.,It's important to consider the merits of new ideas based on their actual value rather than solely because they are new.,,
"When looking for information about Vim, the place to look is always the built-in help. Not Google, not the manpages, not the github metadata, just the help. In this case: :help credits","When seeking information about Vim, it's advisable to refer to the built-in help rather than relying solely on external sources.",,
"This seems unnecessarily hostile, especially given that, in your own words, - I shouldn't complain about software I had nothing to pay for""""","Let's strive for a more constructive approach, even when discussing software that was obtained at no cost.",,
"Have you considered simply reporting the issue, without any of the assholery?",Have you considered reporting the issue without any negative language or confrontational tone? It might yield better results.,,
"If you would like to re-open another GitHub issue calmly describing your problem with less vitriol and toxicity, I will gladly add it to my next release milestone, I'll add a test case for the situation, and I'll forget that this exchange happened.","If you would like to reopen a GitHub issue calmly and describe the problem without toxicity, I would be glad to consider it for inclusion in the next release milestone, along with a test case.",,
"Sorry to say, that I am totally pissed off from this worst programmed piece of software/plugin I have ever seen.","I'm sorry to hear that you're frustrated with the software/plugin, but it would be more helpful to provide specific examples and suggestions for improvement.",,
"You actually need to keep hearing our feedback, every one of us.",It's important to value and consider feedback from all users to enhance the overall experience.,,
you should be working to find the screams because it takes tons of effort for us to get the screams close to you.,"Let's proactively seek and address concerns from users, even if it requires extra effort to ensure their voices are heard.",,
"you should want to know about all of these peoples feedback, especially when its them screaming in paper cut agony.","It's crucial to be receptive to all feedback, especially when users express their frustrations or dissatisfaction.",,
"So, let's put it straight, with the largest, boldest letters: **THIS IS NOT A FLUTTER ISSUE, There is no Flutter solution or workaround and never will be.**","It's essential to clarify that this issue is not specific to Flutter, and we should focus on finding a solution rather than placing blame.",,
"don't be stupid, it's a bug",Let's refrain from using derogatory language and approach the issue by acknowledging it as a bug.,,
"Your belief that you're doing anyone a favor by varying from the expected command line tool behavior, you should turn in your commit per.issions and get a job in management where you don't have access to break things AGAIN.","Instead of assuming someone's intentions, let's concentrate on the expected behavior and adherence to conventions.",,
"By not doing what the command line tools do, you are varying from the expected behavior and breaking convention. THIS IS WRONG.","By aligning with the command line tool behavior, we can ensure consistency and avoid confusion. Let's consider the benefits of following established conventions.",,
Save your energy. Lex has rejected this again and again.,Let's redirect our efforts elsewhere since it seems that the suggestion has been repeatedly rejected by Lex.,,
"Put your overlays as extra quads into your item model, he says.","Consider incorporating your overlays as extra quads into the item model, as suggested.",,
Threatening to coremods shit because you haven't spent 10 mins looking into other solutions is not the way to get things added to forge.,Threatening coremods without exploring alternative solutions or investigating other possibilities is not the most effective way to have your requests addressed within Forge.,,
It's pretty useless to complain about someone not looking without pointing them in the right direction.,It would be more helpful to guide and provide direction to others instead of simply complaining about their lack of effort in finding solutions.,,
It's excruciatingly abrasive and dickish and impedes fostering a community that actually wants to contribute to a project.,Maintaining a positive and respectful environment fosters a community that is eager to contribute and collaborate on projects.,,
Going off on someone because you assume they haven't searched for other solutions makes you look like a dick.,Making assumptions about others' efforts without offering assistance or guidance can come across as hostile and unproductive.,,
"I don't care if you consider my response dickish, your initial post was.","Let's strive for a more respectful and constructive discussion, focusing on the issue rather than engaging in negative exchanges.",,
i'm sick of being threatened by people and coremods.,"I understand your frustration with the situation, but let's aim to address concerns without resorting to hostility or threats.",,
"I would have loved to work with you, but since you were not willing to accept any recommendations, I am closing this and we will do any remaining work in https://github.com/saltstack/salt/pull/48058.","Although I would have liked to collaborate with you, since you were not receptive to recommendations, I will close this issue and continue the remaining work in https://github.com/saltstack/salt/pull/48058.",,
"WTF guys, you can't make built version of app?",Could you please provide more information about the process of creating a built version of the app?,,
so to use it i need to download huge amounts of not needed data and applications? That not how the Linux works.,It seems that using the app requires downloading a significant amount of data and applications that might not be necessary. Could we explore ways to optimize the installation process while adhering to Linux conventions?,,
"And also polite mean to make installation for users, and not throwing in their faces some code and say do whatever you want with it"".""",It would be helpful to provide a more user-friendly installation process instead of presenting users with raw code and expecting them to figure it out.,,
t's really not that hard to understand...,Understanding the situation shouldn't be overly complicated. Let's work together to clarify any confusion.,,
Why don't you develop your own terminal instead of asking like you are the CEO of Microsoft?,Have you considered developing a custom terminal instead of relying on external resources? This could give you more control over the features and functionality.,,
Some people shouldn't act like a ass just because they think different.,It's important to maintain respectful communication even when there are differing opinions.,,
I agree that @creotiv should not act like an ass,"I agree that it's not appropriate for anyone to act disrespectfully, regardless of their viewpoints.",,
I didn't mean that but whatever floats your boat man. Æ’,"I didn't mean to offend you, and I apologize if my comment came across that way.",,
"Where's your binaries? Just because it's early and incomplete"" (just like this code on this repo is) shouldn't be an excuse.""","Is there a specific reason why the binaries for the software are not available? It would be beneficial to provide them, even if the software is still in the early and incomplete stages.",,
3 month to make an installer for an app)) that's nice),It seems like it took quite a long time to create an installer for the app. Let's discuss ways to improve the efficiency of the process.,,
"Look, 24h later, a valid tiny patch is still not merged and we'd need to discuss"" why shippable failed on its improvement, not even on the patch itself.""","It's been 24 hours, and a valid patch has not yet been merged. We should address the failure of the shippable improvement and discuss it further.",,
I can submit the bug elsewhere but do you really mean to suggest that I need to know about HPLIP and cups-filters to understand why three different tools process the options I've set (using your software) in three different ways?,"I can submit the bug report elsewhere, but I'm wondering if there's a simpler explanation for why the options I've set are processed differently by three different tools.",,
Who takes responsibility when other projects don't know how to interface correctly with your software?,"When other projects don't interface correctly with your software, who should take responsibility for resolving the issue?",,
Are you ever grateful to receive bug reports about your project?,"We appreciate receiving bug reports about the project, and we value the opportunity to improve it.",,
You don't think any of your documentation needs to be fixed?,Let's consider reviewing and enhancing the documentation to ensure it meets the highest standards.,,
So cups-pdf is HP's problem too? Is there any Linux software you can name that interfaces with CUPS correctly?,Does any Linux software exist that interfaces correctly with CUPS? It would be beneficial to identify examples for reference.,,
Is there any Linux software you can name that interfaces with CUPS correctly?,Are there any Linux software solutions that you can recommend for proper CUPS interfacing?,,
"It would help to have an answer to this question, relating to the configuration of face-up printers","It would be helpful to have an answer to this question, particularly regarding the configuration of face-up printers.",,
"Please look at this, because @raver119 is still angry I said C wasn't a good language.",Please take a look at this because @raver119 is still unhappy about my previous comment regarding the suitability of C as a programming language.,,
I don't even remember who you are.,"I apologize, but I don't recall who you are. Could you refresh my memory?",,
That's a bit of surprising statement.,That's quite a surprising statement. Could you please elaborate on your point?,,
P.s. sorry. Just too many people around.,P.S. I apologize for any misunderstandings caused by the numerous people involved in this discussion.,,
Keep it professional or I won't hesitate to ban you from interacting with this repository.,"Let's maintain a professional atmosphere, or else I may have to restrict your interaction with this repository.",,
Just seems pointless to continue supporting something that uses so much developer time.,It might seem unproductive to continue supporting something that requires a significant amount of developer time. Let's discuss alternative approaches.,,
"You can do that, but don't blame the software then.","While you have the freedom to make your own choices, it's important not to blame the software for any issues that arise from those choices.",,
"You still try to push Salt to adhere to OMV data format, while common sense says it should be otherwise.","It appears that you're advocating for Salt to adhere to the OMV data format, but common sense suggests a different approach. Let's discuss and explore other possibilities.",,
"i alreeady said it was kneejerk impulse, so you eems to be crashing through door wide open.",It's unfortunate to encounter issues with certain components. Let's work together to identify and address the problems rather than resorting to derogatory language.,,
You blaze of ego is called for.,Let's try to maintain a respectful and collaborative atmosphere instead of focusing on individual egos.,,
Yesterday i spent hours looking into Salt code and patching it along your suggestions.,"Yesterday, I spent several hours examining the Salt code and implementing the changes according to your suggestions.",,
First i took your suggestions as correct and thought through. And just followed them. An then had to undo it all.,"Initially, I followed your suggestions, thinking they were correct, but I later had to undo them. It would be helpful to align our understanding.",,
Now you imply it was your time wasted not mine.,"Now it seems that you're suggesting your time was wasted, rather than mine. Let's focus on finding a solution together.",,
you refused to help me doing it.,It seems that you were reluctant to assist me during the process. Could we establish a more supportive approach moving forward?,,
"You made me look into Linux kernel i am not familiar with, at the same time you are not very willing to point me to specific OMV code and Salt commands you are familiar with.","I had to familiarize myself with the Linux kernel, which I'm not accustomed to, while you seemed hesitant to provide specific guidance on the OMV code and Salt commands you're familiar with.",,
you are funny :),I appreciate your sense of humor. Can you clarify who was offended by the discussion?,,
"you can learn a bit about semantics, grammar and the meanings of words - essentialy about language and usage :) can you tell me who was here offended ?","When encountering storage OOM, Gradle fails to signal the issue clearly, providing inaccurate information instead.",,
"when we have storage OOM gradle doesn't sygnalize that, instead proper info we have a bullshit :)",It appears that there are still some issues with the daemon functionality. Could we investigate and address them?,,
still some daemon shit WTF ???,"Flutter team, it would be greatly appreciated if you could thoroughly investigate this issue.",,
"Flutter team, PLEASE INVESTIGATE THIS ISSUE PROPERLY!",It seems that there is a lack of attention from the Flutter team regarding this issue. Let's work together to resolve it.,,
It looks like no one from Flutter team cares about the issue.,"I'm sorry, but I have to express my concern about the lack of activity in this repository for the past two months.",,
I'm sorry but I have to be this guy... The fact is that you left this repository unanswered for two plain month.,"Considering the lack of recent activity in the repository, it's important to attract more interest in SUI. Adding additional trusted owners or managers could greatly help with this.",,
"you MUST understant that without repo's activity people will not be interested in SUI anymore, and you'll try to find funds for a dead project...",I understand the urgency of maintaining repository activity to sustain interest in the project. Let's discuss strategies to address this issue effectively.,,
"I am BEGGING @levithomason, @jlukic, or any other project owner to PLEASE add at least two more trusted owners or managers with the power to add more committers and maintainers so badly needed.","I kindly request @levithomason, @jlukic, or any other project owner to consider adding more trusted owners or managers who can contribute as committers and maintainers.",,
I don't appreciate you basically calling me an idiot in all caps when you didn't bother to even consider that maybe I had a good reason for doing it the way I did.,I would appreciate it if you didn't belittle my actions by implying that I made foolish choices without considering the reasons behind them.,,
"Except, you don't have a good reason, if you would of worked with anyone in the community to figure things out before resorting to hacking things with a coremod then we would be having a different conversation.","If we had collaborated with the community before resorting to modifying the core with a coremod, we might have had a different outcome. Let's learn from this experience.",,
"Fuck you flutter, if macos adds PATH, it just wont join, go to hell, youre so ugly, Google is so big, will the script be configured to die?","I strongly disagree with your negative language towards Flutter. Instead, let's focus on resolving the issue at hand.",,
"This is why Linux products are the way they are, and why no one had ever heard of KDE MAUI until now -- you lot just argue about inane stuff instead of getting work done.",This kind of argument and lack of productivity is why Linux products sometimes face challenges. Let's work together to get things done efficiently.,,
Are you a lawyer? Maybe you should check with one before you potentially commit business libel.,It might be wise to consult with a lawyer to ensure that our statements don't potentially constitute business libel.,,
why did you close this?,Could you please explain the reason behind the closure of this issue?,,
"The maintainers of the project are using a dependency that is buggy, they should take care of this","As maintainers of the project, it's our responsibility to address issues with dependencies that may contain bugs.",,
That's your responsibility to take care of things that don't work as expected in the dependencies of your project.,It's our responsibility to ensure that the dependencies used in our project function correctly. Let's strive to address any issues that arise.,,
"You are advertising syntax highlighting, you are supposed to deliver!",It would be great if the advertised syntax highlighting feature could be delivered as expected.,,
"And if you don't, you are supposed to take care of whatever is needed to have your product work as expected","If there are any issues, it would be appreciated if you could take the necessary steps to ensure that the product functions properly.",,
"We're not contractually obligated to work on every bug and answer every question, seeing as we simply don't have enough resources.","While we understand that resources are limited, we may not be able to address every bug or answer every question as we are not contractually obligated to do so.",,
(I) really love this ability to minimize comments on GitHub.. :sparkles:,I really appreciate the ability to minimize comments on GitHub. It's a great feature!,,
You got us. It's a joke.,You caught us! It was meant as a joke.,,
"I mean cmon guys, is this a joke?",Can we have some clarification? Is this intended to be a joke?,,
It is ridiculously funny not having a password lock for the most sensible information inside the phone that leads to basically unlocking all of your secure accounts.,"It seems quite surprising that there is no password lock for sensitive information on the phone, which could potentially compromise the security of our accounts.",,
"I mean cmon guys, is this a joke? 2FA without a feature to lock the screen from people?",I find it surprising that there is no option to lock the screen with 2FA enabled. Could this be addressed?,,
This is the incorrect approach based upon your issue.,"Based on the issue at hand, it seems that this approach might not be the most suitable one.",,
rooting for you @filmgirl â€°,"I'm cheering for you, @filmgirl! Hope you succeed!",,
"11/10, want to see this happen! â€™Å“",I'm extremely excited about this idea and would love to see it become a reality!,,
Knowing that this is possible my life will not be the same without it,"Now that I know this is possible, it would truly enhance my experience. It's a game-changer!",,
"I can't believe it hasn't already been implemented, this is a must have feature.",It's hard to believe that such a crucial feature hasn't been implemented yet. It's definitely a must-have.,,
This needs a kickstarter campaign,This idea is so promising that it deserves a Kickstarter campaign to make it happen!,,
How have I been using Terminal without this feature for so long? I'm using plain old terminal until we have it!,How have I been managing without this feature in Terminal for so long? I'll continue using the plain old terminal until this feature becomes available!,,
"This explains a lot and why microsoft made ton of bad decisions recently, maybe the people at the top are delusional?",This sheds light on some of the questionable decisions made by Microsoft lately. Perhaps there's a disconnect among the higher-ups?,,
It is really offending me because I am very snow sensitive and get hurt by snowflakes when it is snowing.,I find it quite bothersome since I'm sensitive to snow and get physically hurt when it snows.,,
If I see that on the VS code I feel physically hurt.,"If I come across that symbol in VS Code, it genuinely causes me distress.",,
On the other hand snowflake is the best symbol for spineless corporations bowing down to any random activist complain.,"On the other hand, the snowflake can be seen as a symbol representing corporations yielding to random activist complaints.",,
Also there was some recent effort to associate snowflake and Santa with its red hat to drug consumption so please don't talk about Its red hat and snow symbol in the same thread. :smile_cat:,"Additionally, there have been recent efforts to associate the snowflake and Santa with its red hat to drug consumption. Hence, it's best to avoid discussing the red hat and snow symbol in the same thread. :smile_cat:",,
"I am with you guys- the one **TROLL** that offended many, many people got his wish fulfilled. Only ONE person wanted this ridiculous change and you are just ignoring so many requests to bring back what was deleted. Shame on you, shame.","I'm in agreement with you all. It's disappointing that the requests of many users are being ignored while one person's wish, who may be a troll, has been fulfilled. Shame on you for disregarding the numerous requests to bring back what was removed.",,
"You're not my dad, I can use everything I like / dislike!",You don't have the authority to dictate my preferences. I have the freedom to use or dislike anything I choose!,,
"Please stop offended me! You're not my dad, I can use everything I like / dislike!","Please refrain from offending me. Remember, you don't have the authority to dictate my likes and dislikes.",,
"I'd be really grateful if that the correct reaction will be delivered like the other one, snowflakes do hurt and sting in the eyes, I won't be able to sleep if I see all day this hurtful symbol of pain and climate oppression in my IDE.","I would greatly appreciate it if the appropriate action, similar to the previous one, is taken. Snowflakes indeed cause discomfort and irritation in the eyes, and I won't be able to relax if I constantly see this symbol of pain and climate oppression in my IDE.",,
Some guy in Microsoft HQ is sweating right now. Although this is 100% deserved.,It's quite deserved that someone at Microsoft HQ is feeling the pressure right now considering the negative impact caused by the situation.,,
"His name is **Christian**, that must be a troll account, too good to be true :D","His name is Christian, but it seems too good to be true. It could possibly be a troll account.",,
"I'm from New Zealand, and in the Southern Hemisphere, it's not cold, but hot during the holiday season. I suggest you geo-locate the user's position and prompt them for the icon of their choice, e.g. snow, ice, fire, sun shine.","As someone from New Zealand, where the holiday season falls during hot weather, I suggest implementing a feature that prompts users to select their preferred icon based on their geographical location, such as snow, ice, fire, or sunshine.",,
Every Christian should be renamed immediately to eliminate possible offence.,It might be worth considering a renaming process for every Christian to avoid any potential offense.,,
"I would also like to point out that snow(flake) is _white_ and is commonly used as a white supremacy symbol to oppress and marginalize whole ethnicities, which due to systemic geographic discrimination couldn't historically experience, first-hand, full range of weather phenomena.","I'd like to point out that snow(flake) is typically associated with the color white, which has been used as a symbol of white supremacy. This can marginalize and oppress certain ethnicities who historically haven't experienced the full range of weather phenomena due to geographic discrimination.",,
Winter is one good buff against invaders in Russia. Praise the winter! Let it snow!,Winter serves as a strategic advantage against invaders in Russia. Let's appreciate the power of winter and let it snow!,,
"The Snow Flake on vscode insiders and pushing it as a cozy""/""wintery"" thing is very offensive to me.""",Seeing the snowflake icon on VS Code Insiders and its promotion as a cozy or wintery symbol is offensive to me.,,
"This isn't just me either, think about the people who cannot even get snow, think about how you're making them feel, making them see what they cannot get, although personally I don't understand that. Snow is terrifying.","It's not just about me; we should also consider how people who never get to experience snow might feel. It can be disheartening for them to be constantly reminded of something they can't have, although I personally don't understand that perspective. Snow is quite terrifying to me.",,
The removing of the Santa hat and catering to vocal minority of sjw idiots is very offensive to me.,I find it offensive that the removal of the Santa hat caters to a vocal minority of social justice warriors.,,
"If Santa is a religious figure, then so is the Grinch,","If Santa is considered a religious figure, then so is the Grinch. Let's not overanalyze and find offense in everything.",,
It's so sad that people are so sensitive in the world we live in today that this sort of thing is even worth discussion..,"It's unfortunate that we live in a world where people are easily offended, to the point where discussions like this are necessary.",,
My understanding is that he was actually upset of the pagan origins :man_shrugging:,"From my understanding, the person who raised the concern was upset about the pagan origins of certain symbols.",,
"Got as far as to feel the joy of my parents being alive, but then a snowflake got in the way and I got offended.","I was on the verge of feeling joy about my parents being alive, but then a snowflake appeared and offended me.",,
"Please don't laugh. This is a serious issue for me. I want to force removal of the feature for everyone, because it hurts my feelings. And no, don't make a toggle for it. It would remind me that a death is still there, but not visible.","I kindly request the complete removal of this feature for everyone, as it deeply hurts my feelings. Please don't provide a toggle option either, as it would remind me that the symbol still exists but isn't visible.",,
"I don't know if it makes any difference, but I'm a black Jew living in Uganda.","Just to provide some context, I'm a black Jew living in Uganda, although I'm not sure if that makes any difference to the discussion.",,
"To avoid being offended, please use the transparent perspicuous pellucid theme.","To prevent any offense, it's advisable to use the transparent perspicuous pellucid theme.",,
"Did you just say trans-parent? But it's ok, my conservative belifs can and even should be offended.","Did you mean ""translucent""? Regardless, it's important to respect different beliefs, even conservative ones that may potentially cause offense.",,
PC?! What if I'm a mac-user?!,What if I'm a Mac user? The discussion shouldn't be limited to PC users only.,,
